,Country,Population,Yearly Change,World Share
0,China,1439323776,0.0039000000000000003,0.18469999999999998
1,India,1380004385,0.009899999999999999,0.177
2,United States,331002651,0.0059,0.0425
3,Indonesia,273523615,0.010700000000000001,0.0351
4,Pakistan,220892340,0.02,0.028300000000000002
5,Brazil,212559417,0.0072,0.0273
6,Nigeria,206139589,0.0258,0.0264
7,Bangladesh,164689383,0.0101,0.021099999999999997
8,Russia,145934462,0.0004,0.0187
9,Mexico,128932753,0.0106,0.0165
10,Japan,126476461,-0.003,0.016200000000000003
11,Ethiopia,114963588,0.025699999999999997,0.0147
12,Philippines,109581078,0.013500000000000002,0.0141
13,Egypt,102334404,0.0194,0.0131
14,Vietnam,97338579,0.0091,0.0125
15,DR Congo,89561403,0.0319,0.0115
16,Turkey,84339067,0.0109,0.0108
17,Iran,83992949,0.013000000000000001,0.0108
18,Germany,83783942,0.0032,0.010700000000000001
19,Thailand,69799978,0.0025,0.009000000000000001
20,United Kingdom,67886011,0.0053,0.0087
21,France,65273511,0.0022,0.0084
22,Italy,60461826,-0.0015,0.0078000000000000005
23,Tanzania,59734218,0.0298,0.0077
24,South Africa,59308690,0.0128,0.0076
25,Myanmar,54409800,0.0067,0.006999999999999999
26,Kenya,53771296,0.022799999999999997,0.0069
27,South Korea,51269185,0.0009,0.0066
28,Colombia,50882891,0.0108,0.006500000000000001
29,Spain,46754778,0.0004,0.006
30,Uganda,45741007,0.0332,0.0059
31,Argentina,45195774,0.009300000000000001,0.0058
32,Algeria,43851044,0.018500000000000003,0.005600000000000001
33,Sudan,43849260,0.0242,0.005600000000000001
34,Ukraine,43733762,-0.0059,0.005600000000000001
35,Iraq,40222493,0.0232,0.0052
36,Afghanistan,38928346,0.0233,0.005
37,Poland,37846611,-0.0011,0.0049
38,Canada,37742154,0.0089,0.0048
39,Morocco,36910560,0.012,0.004699999999999999
40,Saudi Arabia,34813871,0.0159,0.0045000000000000005
41,Uzbekistan,33469203,0.0148,0.0043
42,Peru,32971854,0.014199999999999999,0.0042
43,Angola,32866272,0.0327,0.0042
44,Malaysia,32365999,0.013000000000000001,0.0042
45,Mozambique,31255435,0.029300000000000003,0.004
46,Ghana,31072940,0.0215,0.004
47,Yemen,29825964,0.022799999999999997,0.0038
48,Nepal,29136808,0.018500000000000003,0.0037
49,Venezuela,28435940,-0.0028000000000000004,0.0036
50,Madagascar,27691018,0.0268,0.0036
51,Cameroon,26545863,0.0259,0.0034000000000000002
52,Côte d'Ivoire,26378274,0.025699999999999997,0.0034000000000000002
53,North Korea,25778816,0.0044,0.0033
54,Australia,25499884,0.0118,0.0033
55,Niger,24206644,0.0384,0.0031
56,Taiwan,23816775,0.0018,0.0031
57,Sri Lanka,21413249,0.0042,0.0027
58,Burkina Faso,20903273,0.0286,0.0027
59,Mali,20250833,0.0302,0.0026
60,Romania,19237691,-0.0066,0.0025
61,Malawi,19129952,0.0269,0.0025
62,Chile,19116201,0.0087,0.0025
63,Kazakhstan,18776707,0.0121,0.0024
64,Zambia,18383955,0.029300000000000003,0.0024
65,Guatemala,17915568,0.019,0.0023
66,Ecuador,17643054,0.0155,0.0023
67,Syria,17500658,0.0252,0.0022
68,Netherlands,17134872,0.0022,0.0022
69,Senegal,16743927,0.0275,0.0021
70,Cambodia,16718965,0.0141,0.0021
71,Chad,16425864,0.03,0.0021
72,Somalia,15893222,0.0292,0.002
73,Zimbabwe,14862924,0.0148,0.0019
74,Guinea,13132795,0.028300000000000002,0.0017000000000000001
75,Rwanda,12952218,0.0258,0.0017000000000000001
76,Benin,12123200,0.0273,0.0016
77,Burundi,11890784,0.031200000000000002,0.0015
78,Tunisia,11818619,0.0106,0.0015
79,Bolivia,11673021,0.0139,0.0015
80,Belgium,11589623,0.0044,0.0015
81,Haiti,11402528,0.0124,0.0015
82,Cuba,11326616,-0.0006,0.0015
83,South Sudan,11193725,0.011899999999999999,0.0014000000000000002
84,Dominican Republic,10847910,0.0101,0.0014000000000000002
85,Czech Republic (Czechia),10708981,0.0018,0.0014000000000000002
86,Greece,10423054,-0.0048,0.0013
87,Jordan,10203134,0.01,0.0013
88,Portugal,10196709,-0.0029,0.0013
89,Azerbaijan,10139177,0.0091,0.0013
90,Sweden,10099265,0.0063,0.0013
91,Honduras,9904607,0.0163,0.0013
92,United Arab Emirates,9890402,0.0123,0.0013
93,Hungary,9660351,-0.0025,0.0012
94,Tajikistan,9537645,0.0232,0.0012
95,Belarus,9449323,-0.0003,0.0012
96,Austria,9006398,0.005699999999999999,0.0012
97,Papua New Guinea,8947024,0.0195,0.0011
98,Serbia,8737371,-0.004,0.0011
99,Israel,8655535,0.016,0.0011
100,Switzerland,8654622,0.0074,0.0011
101,Togo,8278724,0.024300000000000002,0.0011
102,Sierra Leone,7976983,0.021,0.001
103,Hong Kong,7496981,0.008199999999999999,0.001
104,Laos,7275560,0.0148,0.0009
105,Paraguay,7132538,0.0125,0.0009
106,Bulgaria,6948445,-0.0074,0.0009
107,Libya,6871292,0.0138,0.0009
108,Lebanon,6825445,-0.0044,0.0009
109,Nicaragua,6624554,0.0121,0.0008
110,Kyrgyzstan,6524195,0.0169,0.0008
111,El Salvador,6486205,0.0051,0.0008
112,Turkmenistan,6031200,0.015,0.0008
113,Singapore,5850342,0.0079,0.0008
114,Denmark,5792202,0.0034999999999999996,0.0007000000000000001
115,Finland,5540720,0.0015,0.0007000000000000001
116,Congo,5518087,0.0256,0.0007000000000000001
117,Slovakia,5459642,0.0005,0.0007000000000000001
118,Norway,5421241,0.0079,0.0007000000000000001
119,Oman,5106626,0.0265,0.0007000000000000001
120,State of Palestine,5101414,0.0241,0.0007000000000000001
121,Costa Rica,5094118,0.0092,0.0007000000000000001
122,Liberia,5057681,0.024399999999999998,0.0006
123,Ireland,4937786,0.0113,0.0006
124,Central African Republic,4829767,0.0178,0.0006
125,New Zealand,4822233,0.008199999999999999,0.0006
126,Mauritania,4649658,0.0274,0.0006
127,Panama,4314767,0.0161,0.0006
128,Kuwait,4270571,0.0151,0.0005
129,Croatia,4105267,-0.0060999999999999995,0.0005
130,Moldova,4033963,-0.0023,0.0005
131,Georgia,3989167,-0.0019,0.0005
132,Eritrea,3546421,0.0141,0.0005
133,Uruguay,3473730,0.0034999999999999996,0.0004
134,Bosnia and Herzegovina,3280819,-0.0060999999999999995,0.0004
135,Mongolia,3278290,0.0165,0.0004
136,Armenia,2963243,0.0019,0.0004
137,Jamaica,2961167,0.0044,0.0004
138,Qatar,2881053,0.0173,0.0004
139,Albania,2877797,-0.0011,0.0004
140,Puerto Rico,2860853,-0.024700000000000003,0.0004
141,Lithuania,2722289,-0.013500000000000002,0.0003
142,Namibia,2540905,0.018600000000000002,0.0003
143,Gambia,2416668,0.0294,0.0003
144,Botswana,2351627,0.0208,0.0003
145,Gabon,2225734,0.0245,0.0003
146,Lesotho,2142249,0.008,0.0003
147,North Macedonia,2083374,0.0,0.0003
148,Slovenia,2078938,0.0001,0.0003
149,Guinea-Bissau,1968001,0.0245,0.0003
150,Latvia,1886198,-0.0108,0.0002
151,Bahrain,1701575,0.0368,0.0002
152,Equatorial Guinea,1402985,0.0347,0.0002
153,Trinidad and Tobago,1399488,0.0032,0.0002
154,Estonia,1326535,0.0007000000000000001,0.0002
155,Timor-Leste,1318445,0.0196,0.0002
156,Mauritius,1271768,0.0017000000000000001,0.0002
157,Cyprus,1207359,0.0073,0.0002
158,Eswatini,1160164,0.0105,0.0001
159,Djibouti,988000,0.0148,0.0001
160,Fiji,896445,0.0073,0.0001
161,Réunion,895312,0.0072,0.0001
162,Comoros,869601,0.022000000000000002,0.0001
163,Guyana,786552,0.0048,0.0001
164,Bhutan,771608,0.011200000000000002,0.0001
165,Solomon Islands,686884,0.0255,0.0001
166,Macao,649335,0.0139,0.0001
167,Montenegro,628066,0.0001,0.0001
168,Luxembourg,625978,0.0166,0.0001
169,Western Sahara,597339,0.0255,0.0001
170,Suriname,586632,0.009000000000000001,0.0001
171,Cabo Verde,555987,0.011000000000000001,0.0001
172,Micronesia,548914,0.01,0.0001
173,Maldives,540544,0.0181,0.0001
174,Malta,441543,0.0027,0.0001
175,Brunei,437479,0.0097,0.0001
176,Guadeloupe,400124,0.0002,0.0001
177,Belize,397628,0.018600000000000002,0.0001
178,Bahamas,393244,0.0097,0.0001
179,Martinique,375265,-0.0008,0.0
180,Iceland,341243,0.006500000000000001,0.0
181,Vanuatu,307145,0.0242,0.0
182,French Guiana,298682,0.027000000000000003,0.0
183,Barbados,287375,0.0012,0.0
184,New Caledonia,285498,0.0097,0.0
185,French Polynesia,280908,0.0058,0.0
186,Mayotte,272815,0.025,0.0
187,Sao Tome & Principe,219159,0.0191,0.0
188,Samoa,198414,0.0067,0.0
189,Saint Lucia,183627,0.0046,0.0
190,Channel Islands,173863,0.009300000000000001,0.0
191,Guam,168775,0.0089,0.0
192,Curaçao,164093,0.0040999999999999995,0.0
193,Kiribati,119449,0.015700000000000002,0.0
194,Grenada,112523,0.0046,0.0
195,St. Vincent & Grenadines,110940,0.0032,0.0
196,Aruba,106766,0.0043,0.0
197,Tonga,105695,0.0115,0.0
198,U.S. Virgin Islands,104425,-0.0015,0.0
199,Seychelles,98347,0.0062,0.0
200,Antigua and Barbuda,97929,0.0084,0.0
201,Isle of Man,85033,0.0053,0.0
202,Andorra,77265,0.0016,0.0
203,Dominica,71986,0.0025,0.0
204,Cayman Islands,65722,0.011899999999999999,0.0
205,Bermuda,62278,-0.0036,0.0
206,Marshall Islands,59190,0.0068000000000000005,0.0
207,Northern Mariana Islands,57559,0.006,0.0
208,Greenland,56770,0.0017000000000000001,0.0
209,American Samoa,55191,-0.0022,0.0
210,Saint Kitts & Nevis,53199,0.0070999999999999995,0.0
211,Faeroe Islands,48863,0.0038,0.0
212,Sint Maarten,42876,0.0115,0.0
213,Monaco,39242,0.0070999999999999995,0.0
214,Turks and Caicos,38717,0.0138,0.0
215,Saint Martin,38666,0.0175,0.0
216,Liechtenstein,38128,0.0029,0.0
217,San Marino,33931,0.0021,0.0
218,Gibraltar,33691,-0.0003,0.0
219,British Virgin Islands,30231,0.0067,0.0
220,Caribbean Netherlands,26223,0.009399999999999999,0.0
221,Palau,18094,0.0048,0.0
222,Cook Islands,17564,0.0009,0.0
223,Anguilla,15003,0.009000000000000001,0.0
224,Tuvalu,11792,0.0125,0.0
225,Wallis & Futuna,11239,-0.0169,0.0
226,Nauru,10824,0.0063,0.0
227,Saint Barthelemy,9877,0.003,0.0
228,Saint Helena,6077,0.003,0.0
229,Saint Pierre & Miquelon,5794,-0.0048,0.0
230,Montserrat,4992,0.0006,0.0
231,Falkland Islands,3480,0.0305,0.0
232,Niue,1626,0.0068000000000000005,0.0
233,Tokelau,1357,0.0127,0.0
234,Holy See,801,0.0025,0.0
